OBJECTID,LOCALID,NAME,GEOTYPE,FULLFIPS,LEGALAREA,EFFECTDATE,ENDDATE,SRCREF,ACRES,SQMILES,OLDNAME,NPU,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,SHAPE_Area,SHAPE_Length
170,,Ben Hill Acres,Neighborhood,,,,,,94.39,0.15,Ben Hill Acres,P,,,GIS,2022/05/24 15:38:21+00,{8F9411A4-3EAC-4F1B-996D-299BAFED6293},4111583.31957127,8507.05382828366
171,,Rue Royal,Neighborhood,,,,,,22.54,0.04,Rue Royal,P,,,GIS,2022/05/24 15:38:21+00,{66081CF1-4142-420D-BCDE-9E0D08E4375B},982002.573164279,4574.55699209545
172,,Ben Hill Pines,Neighborhood,,,,,,45.46,0.07,Ben Hill Pines,P,,,GIS,2022/05/24 15:38:21+00,{71BB65A0-8A33-417A-991D-89C28A64D475},1980057.97620224,8094.00603164915
173,,Ben Hill Forest,Neighborhood,,,,,,95.8,0.15,Ben Hill Forest,P,,,GIS,2022/05/24 15:38:21+00,{3C878933-0F32-4151-891B-28D6073FE50B},4173013.65971724,8245.15811988498
174,,Deerwood,Neighborhood,,,,,,118.22,0.18,Deerwood,P,,,GIS,2022/05/24 15:38:21+00,{211F218A-ADB4-4B32-BA66-A7E614697603},5149805.67865015,9925.80623093452
184,,Almond Park,Neighborhood,,,,,,337.31,0.53,Almond Park/Carey Park,G,,,GIS,2022/05/24 15:38:21+00,{E2D6AFCD-7D75-40E1-A900-D1EAE71266E2},14693291.3780726,18366.2129130263
185,,Browns Mill Park,Neighborhood,,,,,,656.34,1.03,Browns Mill Park,Z,,,GIS,2022/05/24 15:38:21+00,{CFF2126B-68F1-4DC6-9A8C-8E869C1C2AA6},28589892.5870887,31132.9218989208
186,,Swallow Circle/Baywood,Neighborhood,,,,,,199.5,0.31,Swallow Circle/Baywood,Z,,,GIS,2022/05/24 15:38:22+00,{C7B1F20E-0B9F-462D-A588-A10F009201C3},8689997.12734252,12494.8820472885
187,,Polar Rock,Neighborhood,,,,,,299.83,0.47,Polar Rock,Z,,,GIS,2022/05/24 15:38:22+00,{7A0CC076-8AF4-485F-8F32-0F6991CE7E2F},13060667.6820682,16462.8112488836
188,,Sylvan Hills,Neighborhood,,,,,,1052.92,1.65,Sylvan Hills,X,,,GIS,2022/05/24 15:38:22+00,{EFB04CA7-E97E-46C8-84BA-1A9798F7C9A6},45865190.3072243,34348.5593064777
189,,Capitol View Manor,Neighborhood,,,,,,146.86,0.23,Capitol View Manor,X,,,GIS,2022/05/24 15:38:22+00,{83DC077C-28F5-4484-BED2-EB34D1267071},6397086.04022308,11071.5685351984
190,,Amal Heights,Neighborhood,,,,,,36.42,0.06,Amal Heights,Y,,,GIS,2022/05/24 15:38:22+00,{404C3E0A-5EB5-49FE-8B54-8A03A4D612EC},1586489.06911175,6472.24074483268
191,,West Lake,Neighborhood,,,,,,185.45,0.29,West Lake,J,,,GIS,2022/05/24 15:38:22+00,{075310B8-F0F0-4434-96B4-E2D519FEF105},8078169.76566293,12575.3874739748
192,,Lakewood Heights,Neighborhood,,,,,,882.83,1.38,Lakewood Heights,Y,,,GIS,2022/05/24 15:38:22+00,{8183053D-F0BB-4392-8F26-7BD8B44BD3EF},38456138.0971449,35541.3395092665
193,,South Atlanta,Neighborhood,,,,,,295.67,0.46,South Atlanta,Y,,,GIS,2022/05/24 15:38:22+00,{B33D913B-ADBE-4777-A8B1-AF1E72F83CEE},12879253.1552119,17023.7348647974
194,,Collier Heights,Neighborhood,,,,,,1247.12,1.95,Collier Heights,I,,,GIS,2022/05/24 15:38:29+00,{EF80017E-56AA-410C-8268-AF51AF95DACA},54324347.5097315,30902.695499515
195,,Ivan Hill,Neighborhood,,,,,,64.65,0.1,Ivan Hill,I,,,GIS,2022/05/24 15:38:29+00,{19F5045B-B48E-4108-B654-1A5BFF723872},2815961.35512774,7480.2403613709
196,,Chalet Woods,Neighborhood,,,,,,76.75,0.12,Chalet Woods,I,,,GIS,2022/05/24 15:38:29+00,{69C4F8B7-A683-414B-B3D9-CE83CCE52A6D},3343174.93379798,7410.57763351248
197,,Florida Heights,Neighborhood,,,,,,247.1,0.39,Florida Heights,I,,,GIS,2022/05/24 15:38:29+00,{08804E6E-9958-45D0-8108-3F9552BC87B7},10763710.4882576,14626.5649874641
198,,Green Acres Valley,Neighborhood,,,,,,48.76,0.08,Green Acres Valley,I,,,GIS,2022/05/24 15:38:29+00,{A4D428B4-F5CD-4308-A5D8-BEDFB6B99195},2123882.50925671,5838.7264355767
199,,Green Forest Acres,Neighborhood,,,,,,101.41,0.16,Green Forest Acres,I,,,GIS,2022/05/24 15:38:29+00,{45742EE9-CDE8-456B-A876-C88370B1A543},4417195.05826563,10358.5924216898
200,,Magnum Manor,Neighborhood,,,,,,150.08,0.23,Magnum Manor,I,,,GIS,2022/05/24 15:38:29+00,{4FE97DFE-BBAC-468A-A2A8-360047D72FE0},6537642.00508123,10419.8601499469
201,,Old Fourth Ward,Neighborhood,,,,,,783.1,1.22,Old Fourth Ward,M,,,GIS,2022/05/24 15:38:29+00,{933AD6B6-681B-4748-8268-7F6C957FE691},34111772.9164449,25771.1156377857
202,,Downtown,Neighborhood,,,,,,1256.23,1.96,Downtown,M,,,GIS,2022/05/24 15:38:29+00,{315A7653-94BA-4921-A507-0BBE6F94BB40},54721302.7612371,32010.5048949933
203,,Georgia Tech,Neighborhood,,,,,,358.85,0.56,Georgia Tech,E,,,GIS,2022/05/24 15:38:29+00,{FCC71FC0-B6EB-4A66-AF21-FC886FC04B48},15631241.6779719,16321.8495169919
204,,Home Park,Neighborhood,,,,,,319.21,0.5,Home Park,E,,,GIS,2022/05/24 15:38:31+00,{158965FD-323D-43A0-963B-057237D93B98},13904726.8161554,16342.7832214698
205,,Midtown,Neighborhood,,,,,,1048.4,1.64,Midtown,E,,,GIS,2022/05/24 15:38:29+00,{562633C6-67C7-4115-9271-3296BB64CD7F},45668318.0819852,48934.8599914345
206,,Ansley Park,Neighborhood,,,,,,388.59,0.61,Ansley Park,E,,,GIS,2022/05/24 15:38:29+00,{81085BBA-9C4E-4A71-AB31-F39801CE61DC},16926843.1885056,23449.0602256669
207,,Brookwood,Neighborhood,,,,,,101.17,0.16,Brookwood,E,,,GIS,2022/05/24 15:38:29+00,{7160E578-A16B-4F40-A51F-A692B717629C},4406751.19379726,11375.2682134709
208,,Ardmore,Neighborhood,,,,,,84.34,0.13,Ardmore/26th Street,E,,,GIS,2022/05/24 15:38:29+00,{B9D2EB5A-CB09-4379-8939-C476B65CA259},3673664.93209345,8177.54601802758
212,,Princeton Lakes,Neighborhood,,,,,,477.17,0.75, ,P,,,GIS,2022/05/24 15:38:29+00,{3D099D6C-FBA5-41A6-96A3-B7B8A98C93A2},20785489.1462065,22102.0310545628
214,,Virginia Highland,Neighborhood,,,,,,670.98,1.05,Virginia-Highland,F,,,GIS,2022/05/24 15:38:31+00,{3457E2EB-86D1-4E12-B2B0-194AD6A4FFC5},29227604.8625986,25037.2232417422
216,,Lake Claire,Neighborhood,,,,,,315.31,0.49,Lake Claire,N,,,GIS,2022/05/24 15:38:30+00,{DF0CE86A-DAEC-4969-A76C-5F19B399E078},13734893.2950069,18778.0049541062
217,,Kirkwood,Neighborhood,,,,,,970.45,1.52,Kirkwood,O,,,GIS,2022/05/24 15:38:32+00,{436FDDF3-98C5-4CDE-87AF-8E69D07F9B7C},42272722.8216234,36633.6798646797
226,,Druid Hills,Neighborhood,,,,,,340.94,0.53,Druid Hills,N,,,GIS,2023/03/15 19:07:07+00,{25A5913A-39FE-4CD6-99A8-7178FD61A888},14872130.4823758,17959.2902127146
230,,Oakland,Neighborhood,,,,,,34.29,0.05, ,W,,,GIS,2022/05/24 15:38:30+00,{CE6EE7C9-CC7E-45A3-9EFF-20068EBD178F},1493743.57170584,6452.29026689077
231,,Atlantic Station,Neighborhood,,,,,,163.06,0.25,Home Park,E,,,GIS,2022/05/24 15:38:30+00,{0E3C70B8-FB96-4598-9392-35B0449DF8FB},7103043.56252157,13535.8660379605
